0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/images/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/images/c4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:55 +0530] "GET /toursandtravelsmanagement/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:55 +0530] "GET /toursandtravelsmanagement/js/jquery.flexslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:55 +0530] "GET /toursandtravelsmanagement/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:55 +0530] "GET /toursandtravelsmanagement/images/dott.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:55 +0530] "GET /toursandtravelsmanagement/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:55 +0530] "GET /toursandtravelsmanagement/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:55 +0530] "GET /toursandtravelsmanagement/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:56 +0530] "GET /toursandtravelsmanagement/images/arrr1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:56 +0530] "GET /toursandtravelsmanagement/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:56 +0530] "GET /toursandtravelsmanagement/images/arrr2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:23:27 +0530] "GET /toursandtravelsmanagement/about.jsp HTTP/1.1" 200 16341
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:23:45 +0530] "GET /toursandtravelsmanagement/booking.jsp HTTP/1.1" 200 29347
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:23:45 +0530] "GET /toursandtravelsmanagement/js/easyResponsiveTabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:23:45 +0530] "GET /toursandtravelsmanagement/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:23:45 +0530] "GET /toursandtravelsmanagement/css/bookingstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:24:49 +0530] "GET /toursandtravelsmanagement/package.jsp HTTP/1.1" 200 15224
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:24:58 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:25:40 +0530] "GET /toursandtravelsmanagement/registration.jsp HTTP/1.1" 200 28984
